# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Oct  7 18:58:09 2021
#
# User preference: *
#
# CONSTRAINT:  where (pl_orbperstr > 200)
# CONSTRAINT:  order by pl_orbper desc
#
# COLUMN toi:            TESS Object of Interest
# COLUMN tid:            TESS Input Catalog ID
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN st_pmra:        PMRA [mas/yr]
# COLUMN st_pmraerr1:    PMRA Upper Unc [mas/yr]
# COLUMN st_pmraerr2:    PMRA Lower Unc [mas/yr]
# COLUMN st_pmralim:     PMRA Limit Flag
# COLUMN st_pmdec:       PMDec [mas/yr]
# COLUMN st_pmdecerr1:   PMDec Upper Unc [mas/yr]
# COLUMN st_pmdecerr2:   PMDec Lower Unc [mas/yr]
# COLUMN st_pmdeclim:    PMDec Limit Flag
# COLUMN pl_tranmid:     Planet Transit Midpoint Value [BJD]
# COLUMN pl_tranmiderr1: Planet Transit Midpoint Upper Unc [BJD]
# COLUMN pl_tranmiderr2: Planit Transit Midpoint Lower Unc [BJD]
# COLUMN pl_tranmidlim:  Planet Transit Midpoint Limit Flag
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_orbpererr1:  Planet Orbital Period Upper Unc [days]
# COLUMN pl_orbpererr2:  Planet Orbital Period Lower Unc [days]
# COLUMN pl_orbperlim:   Planet Orbital Period Limit Flag
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_trandurherr1: Planet Transit Duration Upper Unc [hours]
# COLUMN pl_trandurherr2: Planet Transit Duration Lower Unc [hours]
# COLUMN pl_trandurhlim: Planet Transit Duration Limit Flag
# COLUMN pl_trandep:     Planet Transit Depth Value [ppm]
# COLUMN pl_trandeperr1: Planet Transit Depth Upper Unc [ppm]
# COLUMN pl_trandeperr2: Planet Transit Depth Lower Unc [ppm]
# COLUMN pl_trandeplim:  Planet Transit Depth Limit Flag
# COLUMN pl_rade:        Planet Radius Value [R_Earth]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc [R_Earth]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc [R_Earth]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_insol:       Planet Insolation Value [Earth flux]
# COLUMN pl_insolerr1:   Planet Insolation Upper Unc [Earth flux]
# COLUMN pl_insolerr2:   Planet Insolation Lower Unc [Earth flux]
# COLUMN pl_insollim:    Planet Insolation Limit Flag
# COLUMN pl_eqt:         Planet Equilibrium Temperature Value [K]
# COLUMN pl_eqterr1:     Planet Equilibrium Temperature Upper Unc [K]
# COLUMN pl_eqterr2:     Planet Equilibrium Temperature Lower Unc [K]
# COLUMN pl_eqtlim:      Planet Equilibrium Temperature Limit Flag
# COLUMN st_tmag:        TESS Magnitude
# COLUMN st_tmagerr1:    TESS Magnitude Upper Unc
# COLUMN st_tmagerr2:    TESS Magnitude Lower Unc
# COLUMN st_tmaglim:     TESS Magnitude Limit Flag
# COLUMN st_dist:        Stellar Distance [pc]
# COLUMN st_disterr1:    Stellar Distance Upper Unc [pc]
# COLUMN st_disterr2:    Stellar Distance Lower Unc [pc]
# COLUMN st_distlim:     Stellar Distance Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature Value [K]
# COLUMN st_tefferr1:    Stellar Effective Termperature Upper Unc [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_logg:        Stellar log(g) Value [cm/s**2]
# COLUMN st_loggerr1:    Stellar log(g) Upper Unc [cm/s**]
# COLUMN st_loggerr2:    Stellar log(g) Lower Unc [cm/s**2]
# COLUMN st_logglim:     Stellar log(g) Limit Flag
# COLUMN st_rad:         Stellar Radius Value [R_Sun]
# COLUMN st_raderr1:     Stellar Radius Upper Unc [R_Sun]
# COLUMN st_raderr2:     Stellar Radius Lower Unc [R_Sun]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN toi_created:    TOI Created Date
# COLUMN rowupdate:      Date Modified
#
toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim,toi_created,rowupdate
2589.01,157698565,PC,07h09m57.16s,107.4881500,-37d13m51.41s,-37.2309480,-18.9830000,0.035,-0.035,0,8.3220000,0.038,-0.038,0,2459177.2260940,0.001176,-0.001176,0,796.4180000,0.0001314,-0.0001314,0,6.4010000,0.2770000,-0.2770000,0,8878.0000000,1.6171900,-1.6171900,0,11.7392000,0.5668580,-0.5668580,0,21.7464000,,,,601.0000000,,,,10.7211000,0.006,-0.006,0,200.2730000,0.8290000,-0.8290000,0,5581.0000000,229.7000000,-229.7000000,0,4.1600000,0.3700000,-0.3700000,0,1.0700000,0.0500000,-0.0500000,0,2021-03-29 18:41:38,2021-08-19 09:54:15
709.02,396720998,PC,04h22m37.29s,65.6553860,-54d08m49.84s,-54.1471790,8.3700000,0.114,-0.114,0,-0.7580000,0.143,-0.143,0,2458399.2211350,0.006072,-0.006072,0,777.0516742,0.0090448,-0.0090448,0,4.3877266,0.6006862,-0.6006862,0,7211.9264886,1035.8727000,-1035.8727000,0,1.3396102,1.0172820,-1.0172820,0,70.1244992,,,,738.0523930,,,,13.9870000,0.000,0.000,0,1350.3200000,112.4650000,-112.4650000,0,50000.0000000,,,0,5.8027600,,,0,0.1470000,0.1110000,-0.1110000,0,2021-07-08 23:15:53,2021-08-19 09:54:15
4349.01,313889049,PC,00h00m31.1s,0.1295740,-26d13m51.9s,-26.2310820,278.2180000,0.073,-0.073,0,105.6630000,0.055,-0.055,0,2458355.6896500,0.005415,-0.005415,0,749.1605231,0.0080429,-0.0080429,0,4.9894211,0.7835969,-0.7835969,0,1750.9801691,189.7611700,-189.7611700,0,2.3438960,0.9431504,-0.9431504,0,0.0334520,,,,109.0750517,,,,11.7463000,0.006,-0.006,0,72.4603000,0.2199000,-0.2199000,0,3851.0000000,125.3120000,-125.3120000,0,4.7153900,0.1350620,-0.1350620,0,0.5581690,0.0637437,-0.0637437,0,2021-07-28 19:58:07,2021-10-06 12:01:47
2670.01,190721237,PC,08h55m01.2s,133.7550050,-37d20m28.48s,-37.3412450,-69.9800000,2.000,-2.000,0,89.0400000,2.000,-2.000,0,2459269.0684510,0.001059,-0.001059,0,748.5175872,0.0000222,-0.0000222,0,3.3250000,0.1270000,-0.1270000,0,4138.0000000,0.7955870,-0.7955870,0,9.6479200,,,0,84.8278000,,,,,,,,9.5986000,0.006,-0.006,0,171.7030000,,,0,6332.0000000,,,0,,,,0,1.3900000,,,0,2021-05-06 23:22:42,2021-08-19 09:54:15
1895.01,384159646,PC,16h14m51.23s,243.7134590,-81d40m50.15s,-81.6805970,-17.5070000,0.044,-0.044,0,-31.8010000,0.048,-0.048,0,2459362.9343190,0.001513,-0.001513,0,748.0742860,,,0,5.0760301,0.1756366,-0.1756366,0,2550.1045302,127.1643450,-127.1643450,0,7.1049602,0.5116352,-0.5116352,0,180.4032319,,,,934.7184777,,,,9.7556000,0.006,-0.006,0,206.2290000,1.1880000,-1.1880000,0,6762.0000000,202.0000000,-202.0000000,0,4.3903100,0.3771450,-0.3771450,0,1.3738700,0.0567035,-0.0567035,0,2020-05-29 16:46:26,2021-09-24 16:02:02
2404.03,142087638,PC,06h33m46.12s,98.4421490,-74d11m24.35s,-74.1900980,-14.4830000,0.040,-0.040,0,5.8900000,0.051,-0.051,0,2458512.1623990,0.005526,-0.005526,0,746.0664156,0.0039671,-0.0039671,0,4.0611200,0.4740800,-0.4740800,0,2205.2990422,408.9270300,-408.9270300,0,7.1843709,3.5492396,-3.5492396,0,1.5619107,,,,285.1240145,,,,11.1464000,0.006,-0.006,0,295.7370000,2.1540000,-2.1540000,0,6142.0000000,132.1800000,-132.1800000,0,4.3587400,0.0831648,-0.0831648,0,1.1800300,0.0538191,-0.0538191,0,2021-07-19 00:13:44,2021-08-19 09:54:15
4191.01,167905035,PC,10h06m49.91s,151.7079560,-29d58m00.27s,-29.9667430,-73.1110000,0.066,-0.066,0,-111.8190000,0.064,-0.064,0,2458548.6688520,0.004239,-0.004239,0,742.8561164,0.0060448,-0.0060448,0,5.6483285,0.7389376,-0.7389376,0,415.3404179,43.8210700,-43.8210700,0,2.2756143,1.3284355,-1.3284355,0,0.4671053,,,,210.8499272,,,,8.6282000,0.006,-0.006,0,83.9132000,0.2410000,-0.2410000,0,5816.0000000,116.1940000,-116.1940000,0,4.3749400,0.0723557,-0.0723557,0,1.1019400,0.0502312,-0.0502312,0,2021-07-08 23:28:50,2021-08-19 09:54:15
1861.01,323295479,PC,08h43m12.03s,130.8001300,-83d03m40.53s,-83.0612580,41.5620000,0.043,-0.043,0,-59.7590000,0.036,-0.036,0,2458622.9196500,0.000780,-0.000780,0,742.5214500,,,0,6.1360000,0.2650000,-0.2650000,0,8970.0000000,1.6505800,-1.6505800,0,10.9482000,0.5891480,-0.5891480,0,89.0369000,,,,855.0000000,,,,9.9486000,0.006,-0.006,0,135.7580000,0.4260000,-0.4260000,0,5490.0000000,148.2000000,-148.2000000,0,4.4500000,0.3300000,-0.3300000,0,1.0600000,0.0600000,-0.0600000,0,2020-05-18 20:24:24,2021-09-23 16:02:01
4361.01,334632624,PC,09h25m23.44s,141.3476640,-15d55m19.73s,-15.9221460,66.6730000,0.072,-0.072,0,-59.7050000,0.077,-0.077,0,2458520.6487030,0.003476,-0.003476,0,741.4255896,0.0050121,-0.0050121,0,5.2428848,0.5942590,-0.5942590,0,498.0174143,48.2641560,-48.2641560,0,2.7683483,1.2324685,-1.2324685,0,0.6112359,,,,225.5131964,,,,8.6661000,0.006,-0.006,0,98.2063000,0.4472500,-0.4472500,0,5944.0000000,125.1430000,-125.1430000,0,4.3024900,0.0780578,-0.0780578,0,1.2203900,0.0575729,-0.0575729,0,2021-08-06 01:36:49,2021-08-19 09:54:15
1894.01,280865159,PC,06h43m11.66s,100.7985910,-78d16m51.94s,-78.2810940,39.2300000,2.000,-2.000,0,56.8700000,2.000,-2.000,0,2458387.0728020,0.006177,-0.006177,0,739.2420494,0.0090610,-0.0090610,0,19.2413648,0.5570964,-0.5570964,0,3136.1809228,105.2570200,-105.2570200,0,6.3215637,0.2277197,-0.2277197,0,0.3623510,,,,197.8801025,,,,10.7519000,0.021,-0.021,0,178.3720000,,,0,5611.0000000,187.0000000,-187.0000000,0,4.3771800,2.0039300,-2.0039300,0,1.0692000,,,0,2020-05-29 16:46:26,2021-08-19 09:54:15
